aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
